vuln_type,attn_model,n_layers,n_qubits,num_params,best_val_f1,final_val_accuracy,final_val_precision,final_val_recall,final_val_f1,final_val_roc_auc,final_val_pr_auc,final_train_f1
timestamp,IQP,1,4,331,0.7312,0.6790,0.6800,0.7727,0.7234,0.7939,0.8392,0.7293
timestamp,HEA,1,4,332,0.7872,0.7407,0.7805,0.7273,0.7529,0.8633,0.8989,0.6120
timestamp,QAOA,1,4,331,0.8000,0.7531,0.7857,0.7500,0.7674,0.8105,0.8723,0.6962
timestamp,IQP,3,4,347,0.7805,0.7778,0.8421,0.7273,0.7805,0.8867,0.9099,0.6707
timestamp,HEA,3,4,348,0.8352,0.8148,0.8085,0.8636,0.8352,0.8861,0.8843,0.7437
timestamp,QAOA,3,4,347,0.7640,0.7407,0.7556,0.7727,0.7640,0.8197,0.8801,0.6805
timestamp,IQP,5,4,363,0.8000,0.7778,0.8095,0.7727,0.7907,0.8474,0.8665,0.7172
timestamp,HEA,5,4,364,0.7040,0.6420,0.8571,0.4091,0.5538,0.7700,0.8123,0.6054
timestamp,QAOA,5,4,363,0.8095,0.8025,0.8500,0.7727,0.8095,0.8136,0.8421,0.7011
timestamp,IQP,1,8,723,0.8372,0.8148,0.8372,0.8182,0.8276,0.8676,0.9022,0.7841
timestamp,HEA,1,8,724,0.8315,0.8025,0.8043,0.8409,0.8222,0.8971,0.9168,0.7933
timestamp,QAOA,1,8,723,0.8387,0.7778,0.7955,0.7955,0.7955,0.8639,0.8998,0.7151
timestamp,IQP,3,8,755,0.7556,0.7284,0.7391,0.7727,0.7556,0.8025,0.8453,0.7314
timestamp,HEA,3,8,756,0.8132,0.7901,0.7872,0.8409,0.8132,0.8689,0.8951,0.7784
timestamp,QAOA,3,8,755,0.7907,0.7531,0.8529,0.6591,0.7436,0.8446,0.8886,0.7362
timestamp,IQP,5,8,787,0.7952,0.7407,0.8286,0.6591,0.7342,0.8191,0.8652,0.7601
timestamp,HEA,5,8,788,0.7907,0.7654,0.8049,0.7500,0.7765,0.8252,0.8610,0.7688
timestamp,QAOA,5,8,787,0.8352,0.8025,0.8043,0.8409,0.8222,0.8375,0.8752,0.7670
timestamp,IQP,1,16,1699,0.7609,0.7284,0.7292,0.7955,0.7609,0.7902,0.8543,0.7384
timestamp,HEA,1,16,1700,0.8090,0.7778,0.7955,0.7955,0.7955,0.8326,0.8603,0.7479
timestamp,QAOA,1,16,1699,0.8372,0.8148,0.8537,0.7955,0.8235,0.8381,0.8762,0.7775
timestamp,IQP,3,16,1763,0.8315,0.8025,0.8182,0.8182,0.8182,0.8633,0.8819,0.7464
timestamp,HEA,3,16,1764,0.8539,0.8272,0.8409,0.8409,0.8409,0.8498,0.8937,0.7684
timestamp,QAOA,3,16,1763,0.8172,0.7654,0.7907,0.7727,0.7816,0.8381,0.8637,0.7875
timestamp,IQP,5,16,1827,0.8046,0.7778,0.8095,0.7727,0.7907,0.8424,0.8778,0.7771
timestamp,HEA,5,16,1828,0.8444,0.7531,0.8000,0.7273,0.7619,0.8682,0.8804,0.7784
timestamp,QAOA,5,16,1827,0.8444,0.8148,0.8537,0.7955,0.8235,0.8535,0.8868,0.7625
delegatecall,IQP,1,4,331,0.8696,0.9000,0.7692,0.9091,0.8333,0.9373,0.8784,0.9057
delegatecall,HEA,1,4,332,0.8696,0.9250,0.8333,0.9091,0.8696,0.9718,0.9307,0.9038
delegatecall,QAOA,1,4,331,0.8696,0.9250,0.8333,0.9091,0.8696,0.9185,0.7991,0.8972
delegatecall,IQP,3,4,347,0.8696,0.9250,0.8333,0.9091,0.8696,0.9154,0.7916,0.8932
delegatecall,HEA,3,4,348,0.8000,0.8750,0.7143,0.9091,0.8000,0.9624,0.9087,0.9020
delegatecall,QAOA,3,4,347,0.8333,0.8750,0.7143,0.9091,0.8000,0.9498,0.8206,0.9259
delegatecall,IQP,5,4,363,0.8696,0.8750,0.7143,0.9091,0.8000,0.9436,0.7784,0.9159
delegatecall,HEA,5,4,364,0.8696,0.9000,0.8182,0.8182,0.8182,0.9592,0.9199,0.8846
delegatecall,QAOA,5,4,363,0.8148,0.8500,0.6471,1.0000,0.7857,0.9530,0.8952,0.8991
delegatecall,IQP,1,8,723,0.8000,0.8750,0.7143,0.9091,0.8000,0.9687,0.9314,0.9057
delegatecall,HEA,1,8,724,0.8000,0.8750,0.7143,0.9091,0.8000,0.9498,0.8297,0.9074
delegatecall,QAOA,1,8,723,0.8696,0.9250,0.8333,0.9091,0.8696,0.9561,0.9173,0.9245
delegatecall,IQP,3,8,755,0.8333,0.8500,0.6667,0.9091,0.7692,0.9498,0.8804,0.9259
delegatecall,HEA,3,8,756,0.8696,0.8750,0.7143,0.9091,0.8000,0.9655,0.9184,0.9174
delegatecall,QAOA,3,8,755,0.8696,0.9000,0.7692,0.9091,0.8333,0.9781,0.9488,0.9057
delegatecall,IQP,5,8,787,0.8333,0.9000,0.7692,0.9091,0.8333,0.9498,0.8521,0.9245
delegatecall,HEA,5,8,788,0.8333,0.9000,0.7692,0.9091,0.8333,0.9592,0.8716,0.9143
delegatecall,QAOA,5,8,787,0.8696,0.9250,0.8333,0.9091,0.8696,0.9624,0.8945,0.9259
delegatecall,IQP,1,16,1699,0.8462,0.9000,0.7692,0.9091,0.8333,0.9749,0.9348,0.9159
delegatecall,HEA,1,16,1700,0.8000,0.8750,0.7143,0.9091,0.8000,0.9624,0.9126,0.9245
delegatecall,QAOA,1,16,1699,0.8696,0.9250,0.8333,0.9091,0.8696,0.9718,0.9218,0.9174
delegatecall,IQP,3,16,1763,0.8696,0.9000,0.7692,0.9091,0.8333,0.9749,0.9414,0.9231
delegatecall,HEA,3,16,1764,0.8333,0.8750,0.7143,0.9091,0.8000,0.9592,0.8996,0.9091
delegatecall,QAOA,3,16,1763,0.8696,0.9000,0.7692,0.9091,0.8333,0.9687,0.9242,0.9057
delegatecall,IQP,5,16,1827,0.8696,0.9250,0.8333,0.9091,0.8696,0.9655,0.9063,0.9333
delegatecall,HEA,5,16,1828,0.8800,0.8750,0.7500,0.8182,0.7826,0.9655,0.9153,0.9515
delegatecall,QAOA,5,16,1827,0.8696,0.9000,0.7692,0.9091,0.8333,0.9655,0.9096,0.9143
